[2023-06-06 11:17:40,112] Register_01 - Step 01: Click Register link
[2023-06-06 11:17:41,190] Register_01 - Step 02: Click Register button
[2023-06-06 11:17:41,528] Register_01 - Step 03: Verify error message display
[2023-06-06 11:17:42,510] Register_02 - Step 01: Click Register link
[2023-06-06 11:17:43,024] Register_02 - Step 02: Enter to firstName textbox
[2023-06-06 11:17:43,210] Register_02 - Step 03: Enter to LastName textbox
[2023-06-06 11:17:43,364] Register_02 - Step 04: Enter to Email textbox
[2023-06-06 11:17:43,490] Register_02 - Step 05: Enter to Password textbox
[2023-06-06 11:17:43,605] Register_02 - Step 06: Enter to Confirm Password textbox
[2023-06-06 11:17:43,745] Register_02 - Step 07: Clịck Register button
[2023-06-06 11:17:44,068] Register_02 - Step 08: Verify errorr messgae display
[2023-06-06 11:19:28,149] Register_01 - Step 01: Click Register link
[2023-06-06 11:19:29,411] Register_01 - Step 02: Click Register button
[2023-06-06 11:19:29,762] Register_01 - Step 03: Verify error message display
[2023-06-06 11:19:31,692] Register_02 - Step 01: Click Register link
[2023-06-06 11:19:32,180] Register_02 - Step 02: Enter to firstName textbox
[2023-06-06 11:19:32,356] Register_02 - Step 03: Enter to LastName textbox
[2023-06-06 11:19:32,505] Register_02 - Step 04: Enter to Email textbox
[2023-06-06 11:19:32,646] Register_02 - Step 05: Enter to Password textbox
[2023-06-06 11:19:32,767] Register_02 - Step 06: Enter to Confirm Password textbox
[2023-06-06 11:19:32,913] Register_02 - Step 07: Click Register button
[2023-06-06 11:19:33,233] Register_02 - Step 08: Verify error message display
[2023-06-06 15:36:22,323] Register_01 - Step 01: Click Register link
[2023-06-06 15:36:23,006] Register_01 - Step 02: Click Register button
[2023-06-06 15:36:23,354] Register_01 - Step 03: Verify error message display
[2023-06-06 15:36:24,196] Register_02 - Step 01: Click Register link
[2023-06-06 15:36:24,672] Register_02 - Step 02: Enter to firstName textbox
[2023-06-06 15:36:24,820] Register_02 - Step 03: Enter to LastName textbox
[2023-06-06 15:36:24,936] Register_02 - Step 04: Enter to Email textbox
[2023-06-06 15:36:25,048] Register_02 - Step 05: Enter to Password textbox
[2023-06-06 15:36:25,189] Register_02 - Step 06: Enter to Confirm Password textbox
[2023-06-06 15:36:25,305] Register_02 - Step 07: Click Register button
[2023-06-06 15:36:25,603] Register_02 - Step 08: Verify error message display
[2023-06-06 15:36:26,847] Register_03 - Step 01: Click Register link
[2023-06-06 15:36:27,596] Register_03 - Step 02: Enter to firstName textbox
[2023-06-06 15:36:27,780] Register_03 - Step 03: Enter to LastName textbox
[2023-06-06 15:36:27,939] Register_03 - Step 04: Enter to Email textbox
[2023-06-06 15:36:28,123] Register_03 - Step 05: Enter to Password textbox
[2023-06-06 15:36:28,285] Register_03 - Step 06: Enter to Confirm Password textbox
[2023-06-06 15:36:28,416] Register_03 - Step 07: Enter to Register button
[2023-06-06 15:36:29,230] Register_03 - Step 08: Verify error message display
[2023-06-06 15:36:29,914] Register_04 - Step 01: Click Register link
[2023-06-06 15:36:30,543] Register_04 - Step 02: Enter to firstName textbox
[2023-06-06 15:36:30,775] Register_04 - Step 03: Enter to LastName textbox
[2023-06-06 15:36:30,932] Register_04 - Step 04: Enter to Email textbox
[2023-06-06 15:36:31,103] Register_04 - Step 05: Enter to Password textbox
[2023-06-06 15:36:31,315] Register_04 - Step 06: Enter to Confirm Password textbox
[2023-06-06 15:36:31,513] Register_04 - Step 07: Enter to Register button
[2023-06-06 15:36:32,315] Register_04 - Step 08: Verify error message display
[2023-06-06 15:36:32,983] Register_05 - Step 01: Click Register link
[2023-06-06 15:36:33,609] Register_05 - Step 02: Enter to firstName textbox
[2023-06-06 15:36:33,822] Register_05 - Step 03: Enter to LastName textbox
[2023-06-06 15:36:33,962] Register_05 - Step 04: Enter to Email textbox
[2023-06-06 15:36:34,130] Register_05 - Step 05: Enter to Password textbox
[2023-06-06 15:36:34,277] Register_05 - Step 06: Enter to Confirm Password textbox
[2023-06-06 15:36:34,431] Register_05 - Step 07: Enter to Register button
[2023-06-06 15:36:35,427] Register_05 - Step 08: Verify message display
[2023-06-06 15:36:36,125] Register_06 - Step 01: Click Login link
[2023-06-06 15:36:36,737] Register_06 - Step 02: Enter to Email textbox
[2023-06-06 15:36:36,970] Register_06 - Step 03: Enter to Password textbox
[2023-06-06 15:36:37,155] Register_06 - Step 04: Enter to Login button
[2023-06-06 15:36:38,039] Register_06 - Step 05: Enter to Login button
[2023-06-06 15:36:38,646] Register_06 - Step 06:Verify FirstName display: Phượng
[2023-06-06 15:36:38,790] Register_06 - Step 07: Verify error message display
[2023-06-06 15:36:38,878] Register_06 - Step 08: Verify email display:PhuongTest714@gmail.com
[2023-06-06 15:54:20,030] Register_01 - Step 01: Click Register link
[2023-06-06 15:54:25,554] Register_01 - Step 02: Click Register button
[2023-06-06 15:54:29,514] Register_01 - Step 03: Verify error message First name display
[2023-06-06 15:54:29,647] Register_01 - Step 04: Verify error message Last name display
[2023-06-06 15:54:29,741] Register_01 - Step 05: Verify error message Email display
[2023-06-06 15:54:29,836] Register_01 - Step 05: Verify error message Password display
[2023-06-06 15:54:29,935] Register_01 - Step 05: Verify error message Confirm display
[2023-06-06 15:54:34,493] Register_02 - Step 01: Click Register link
[2023-06-06 15:54:37,754] Register_02 - Step 02: Enter to firstName textbox
[2023-06-06 15:54:37,949] Register_02 - Step 03: Enter to LastName textbox
[2023-06-06 15:54:38,105] Register_02 - Step 04: Enter to Email textbox
[2023-06-06 15:54:38,251] Register_02 - Step 05: Enter to Password textbox
[2023-06-06 15:54:38,381] Register_02 - Step 06: Enter to Confirm Password textbox
[2023-06-06 15:54:38,531] Register_02 - Step 07: Click Register button
[2023-06-06 15:54:38,883] Register_02 - Step 08: Verify error message display
[2023-06-06 15:54:43,463] Register_03 - Step 01: Click Register link
[2023-06-06 15:54:44,708] Register_03 - Step 02: Enter to firstName textbox
[2023-06-06 15:54:44,856] Register_03 - Step 03: Enter to LastName textbox
[2023-06-06 15:54:44,996] Register_03 - Step 04: Enter to Email textbox
[2023-06-06 15:54:45,141] Register_03 - Step 05: Enter to Password textbox
[2023-06-06 15:54:45,307] Register_03 - Step 06: Enter to Confirm Password textbox
[2023-06-06 15:54:45,438] Register_03 - Step 07: Enter to Register button
[2023-06-06 15:54:46,221] Register_03 - Step 08: Verify error message display
[2023-06-06 15:54:50,643] Register_04 - Step 01: Click Register link
